Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
ES,Dammam,Lexus,Automatic,Other,Full,3.5,40000,185000,3,False,False,10.596659732783579
Elantra,Taef,Hyundai,Manual,Saudi,Standard,1.6,191700,13000,15,False,False,12.16369214550422
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,4.0,446,50000,17,False,False,6.102558594613569
C,Riyadh,Mercedes,Automatic,Other,Full,3.0,210000,210000,5,False,False,12.25486757159303
Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,5.3,275000,40000,11,False,False,12.524530013005734
S,Riyadh,Mercedes,Automatic,Other,Full,3.0,26000,245000,5,False,False,10.165890277802454
FJ,Jeddah,Toyota,Automatic,Saudi,Standard,4.0,130,100000,6,False,False,4.875197323201151
Seven,Riyadh,Changan,Automatic,Saudi,Standard,1.5,55531,27500,2,False,False,10.924714710154692
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,3.5,70263,89000,6,False,False,11.160014855596954
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,1.4,105500,32000,4,False,False,11.566475710526321
Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2.5,175000,49000,5,False,False,12.07254696717504
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,4.6,42000,138000,6,False,False,10.645448706505872
Azera,Tabouk,Hyundai,Automatic,Saudi,Standard,3.5,147,2049,4,False,False,4.997212273764115
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,4.0,67357,126000,5,False,False,11.117776957264015
Land Cruiser Pickup,Aseer,Toyota,Manual,Saudi,Standard,1.5,2580,15000,39,True,False,7.855932199718614
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,5.0,58000,250000,6,False,False,10.968215530759236
C300,Riyadh,Chrysler,Automatic,Saudi,Full,5.7,340000,40000,9,False,False,12.73670383776449
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2.0,82914,53000,7,False,False,11.325571265648199
